CISP,MUNICIPIO,LOCAL DO REGISTRO,DATA DO FATO,FAIXA DE HORA DO FATO,DESCRICAO,IDADE,COR,RELACAO COM VITIMA,LOCAL DO FATO,LEI APLICADA
58 CISP,NOVA IGUACU,DEAM - NOVA IGUACU,10/09/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,35,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
58 CISP,NOVA IGUACU,OUTRAS DELEGACIAS,16/09/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,59,BRANCA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
58 CISP,NOVA IGUACU,OUTRAS DELEGACIAS,16/09/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,59,BRANCA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
62 CISP,DUQUE DE CAXIAS,OUTRAS DELEGACIAS,16/09/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,24,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
59 CISP,DUQUE DE CAXIAS,DEAM - DUQUE DE CAXIAS,9/09/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,18,BRANCA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
66 CISP,MAGE,OUTRAS DELEGACIAS,27/09/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,35,BRANCA,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
67 CISP,GUAPIMIRIM,OUTRAS DELEGACIAS,30/09/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,25,PRETA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
59 CISP,DUQUE DE CAXIAS,OUTRAS DELEGACIAS,1/10/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,23,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
59 CISP,DUQUE DE CAXIAS,OUTRAS DELEGACIAS,1/10/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,25,BRANCA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
63 CISP,JAPERI,OUTRAS DELEGACIAS,3/10/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,49,PRETA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
52 CISP,NOVA IGUACU,DEAM - NOVA IGUACU,3/10/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,48,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
54 CISP,BELFORD ROXO,DEAM - BELFORD ROXO,3/10/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,18,BRANCA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
66 CISP,MAGE,OUTRAS DELEGACIAS,8/10/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO,22,PRETA,PARENTE,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
66 CISP,MAGE,OUTRAS DELEGACIAS,7/10/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,20,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
55 CISP,QUEIMADOS,NUAM - QUEIMADOS,22/10/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,23,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
65 CISP,MAGE,OUTRAS DELEGACIAS,1/11/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,23,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
